i	i	i	s	s	s
int1	int2	int3	str1	str2	str3
1	-5	100	apple	a	hello
2	-10	99	banana	xyz	world
3	-15	98	cherry	longstring123	hi
4	-20	97	date	short	bye
5	-25	96	elderberry	medium	yes
6	-30	95	fig	loooooongstring	no
7	-35	94	grape	abcde	ok
8	-40	93	honeydew	abcdefg	why
9	-45	92	kiwi	abcdefghi	what
10	-50	91	lemon	abcdefghij	when
11	-55	90	mango	abcdefghijk	where
12	-60	89	nectarine	abcdefghijkl	how
13	-65	88	orange	abcdefghijklm	so
14	-70	87	papaya	abcdefghijklmn	thus
15	-75	86	quince	abcdefghijklmno	then
16	-80	85	raspberry	abcdefghijklmnop	there
17	-85	84	strawberry	abcdefghijklmnopq	here
18	-90	83	tangerine	abcdefghijklmnopqr	yes
19	-95	82	ugli	abcdefghijklmnopqrs	no
20	-100	81	vanilla	abcdefghijklmnopqrst	ok
21	-105	80	watermelon	abcdefghijklmnopqrstu	why
22	-110	79	xigua	abcdefghijklmnopqrstuv	what
23	-115	78	yam	abcdefghijklmnopqrstuvw	when
24	-120	77	zucchini	abcdefghijklmnopqrstuvwx	where
25	-125	76	pear	abcdefghijklmnopqrstuvwxy	how
